City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hervey Bay,AU,2021-09-22 20:17:23,-25.2986,152.8535,57.04,81,1,10.29
68,Qaanaaq,GL,2021-09-22 20:15:17,77.484,-69.3632,13.46,63,11,6.89
69,Baykit,RU,2021-09-22 20:17:23,61.67,96.37,28.15,98,96,2.82
70,Toamasina,MG,2021-09-22 20:17:23,-18.1667,49.3833,66.2,94,40,2.3
71,Ayan,RU,2021-09-22 20:17:24,56.45,138.1667,48.92,58,5,6.35
72,Alice Springs,AU,2021-09-22 20:15:28,-23.7,133.8833,36.95,56,0,0.0
73,Lata,PT,2021-09-22 20:17:24,40.1629,-8.3327,67.05,71,100,4.68
74,Vaini,TO,2021-09-22 20:17:24,-21.2,-175.2,75.36,88,40,10.36
75,Kosugi,JP,2021-09-22 20:17:25,36.7167,137.1,64.24,87,2,5.41
76,Ushtobe,KZ,2021-09-22 20:17:25,45.2514,77.9838,52.34,26,100,8.86
77,Nanortalik,GL,2021-09-22 20:17:25,60.1432,-45.2371,42.01,90,100,5.7
78,Bengkulu,ID,2021-09-22 20:17:26,-3.8004,102.2655,75.31,90,100,3.31
79,Butaritari,KI,2021-09-22 20:15:18,3.0707,172.7902,82.65,67,95,16.08
80,Lebu,CL,2021-09-22 20:17:26,-37.6167,-73.65,54.21,61,36,5.08
81,Altay,CN,2021-09-22 20:17:26,47.8667,88.1167,38.1,25,74,3.91
82,Alofi,NU,2021-09-22 20:17:27,-19.0595,-169.9187,75.09,83,75,16.11
83,Koster,ZA,2021-09-22 20:17:27,-25.863,26.8976,56.37,53,27,4.41
84,Pemberton,CA,2021-09-22 20:15:04,50.3164,-122.8027,69.49,75,97,2.39
85,Athabasca,CA,2021-09-22 20:15:03,54.7169,-113.2854,65.05,38,100,15.39
86,Kaitangata,NZ,2021-09-22 20:17:27,-46.2817,169.8464,43.43,75,4,4.65
87,La Ronge,CA,2021-09-22 20:17:28,55.1001,-105.2842,61.05,59,90,3.44
88,Luena,AO,2021-09-22 20:17:28,-11.7833,19.9167,69.49,20,100,4.88
89,Gubkinskiy,RU,2021-09-22 20:17:19,64.434,76.5026,33.67,85,39,9.64
90,Kapaa,US,2021-09-22 20:17:21,22.0752,-159.319,84.18,71,90,3.0
91,Cayenne,GF,2021-09-22 20:17:28,4.9333,-52.3333,86.04,77,0,4.0
92,Chokurdakh,RU,2021-09-22 20:17:29,70.6333,147.9167,28.26,79,97,3.31
93,Arman,RU,2021-09-22 20:17:29,59.7,150.1667,42.91,75,82,6.11
94,Nouakchott,MR,2021-09-22 20:17:29,18.0858,-15.9785,82.33,71,0,21.16
95,Airai,TL,2021-09-22 20:17:30,-8.9266,125.4092,57.16,52,51,3.24
96,Henties Bay,NA,2021-09-22 20:17:30,-22.116,14.2845,54.86,80,30,8.39
97,Kiruna,SE,2021-09-22 20:17:30,67.8557,20.2251,43.72,93,90,19.57
98,Zelenoborskiy,RU,2021-09-22 20:17:31,66.845,32.3622,40.84,82,100,9.64
99,Koslan,RU,2021-09-22 20:17:31,63.4564,48.8989,37.0,98,16,5.14
100,Padang,ID,2021-09-22 20:13:30,-0.9492,100.3543,77.49,81,100,3.96
101,Leningradskiy,RU,2021-09-22 20:17:31,69.3833,178.4167,19.96,74,90,6.85
102,Gat,IL,2021-09-22 20:17:31,31.61,34.7642,79.48,100,5,7.72
103,Saint-Philippe,RE,2021-09-22 20:17:32,-21.3585,55.7679,67.59,82,40,11.7
104,Los Llanos De Aridane,ES,2021-09-22 20:17:32,28.6585,-17.9182,71.35,83,75,11.5
105,Joshimath,IN,2021-09-22 20:17:32,30.5667,79.5667,64.54,85,99,1.57
106,Ashland,US,2021-09-22 20:17:33,40.8167,-82.2665,64.51,99,100,11.3
107,Lavrentiya,RU,2021-09-22 20:17:33,65.5833,-171.0,31.64,64,19,8.08
108,Birjand,IR,2021-09-22 20:17:33,32.8663,59.2211,63.07,15,0,4.61
109,Nikolskoye,RU,2021-09-22 20:17:34,59.7035,30.7861,44.49,73,100,3.22
110,High Rock,BS,2021-09-22 20:17:34,26.6208,-78.2833,87.82,67,41,5.73
111,Cabra,ES,2021-09-22 20:17:34,37.4725,-4.4421,73.4,65,21,3.53
